,Week Number,Waiting List
0,1,10.8
1,2,10.1
2,3,9.3
3,4,11.1
4,5,10.1
5,6,9.9
6,7,10.8
7,8,9.9
8,9,9.5
9,10,11.3
10,11,9.8
11,12,9.6
12,13,7.9
13,14,10.9
14,15,10.2
15,16,10.0
16,17,11.1
17,18,8.5
18,19,11.9
19,20,9.0
20,21,12.9
21,22,18.3
22,23,25.0
23,24,36.4
24,25,43.7
25,26,53.2
26,27,62.0
27,28,71.1
28,29,79.0
29,30,87.5
30,31,97.2
31,32,106.4
32,33,112.6
33,34,119.2
34,35,128.2
35,36,137.3
36,37,145.3
37,38,153.9
38,39,160.8
39,40,167.8
40,41,175.4
41,42,182.7
42,43,190.8
43,44,197.4
44,45,204.4
45,46,210.5
46,47,217.0
47,48,223.5
48,49,229.1
49,50,234.5
50,51,240.2
51,52,248.9
