Run Number,Max Waiting List,Mean Q Time Enter Pathway,Mean Wait Time Asst,Mean Wait Time School,Mean Wait Time Diag,Mean Wait Time Titr
0,261.0,4.369159997096587,12.801719766987036,11.74111997480634,14.529350014519327,15.041806078103916
1,259.0,3.7424460773765644,13.112162224288122,11.59248884321954,14.281266740658602,15.384514853967747
2,208.0,3.9750436615176388,12.736521430409427,12.617536106475722,13.735410923906763,13.825801999957806
3,230.0,4.13111226568076,12.942453224942707,12.626081999007457,13.809360080996019,14.606312727332217
4,292.0,4.655885611652271,12.473015972073972,13.072868582964288,13.167019188877656,13.772310318248733
5,218.0,3.4907118261469265,12.922036483149194,12.976252255058137,14.053195555686054,14.294133185164473
6,216.0,4.173240444869581,13.939199226510334,11.65805923983842,13.100174818529796,15.751456861299916
7,268.0,4.590933816974716,13.468748167078918,11.231554458296527,15.080876058181138,15.189889848362863
8,281.0,5.176349554488469,11.892167074009043,12.339876726599947,14.240333343566139,16.213859202793675
9,246.0,4.402971981661874,13.042353911185392,11.975390963779247,14.914745105579913,15.781432350456528
