,Run Number,Week Number,Waiting List
0,Run Number 0,1,13
1,Run Number 0,2,11
2,Run Number 0,3,9
3,Run Number 0,4,5
4,Run Number 0,5,9
5,Run Number 0,6,15
6,Run Number 0,7,11
7,Run Number 0,8,16
8,Run Number 0,9,5
9,Run Number 0,10,4
10,Run Number 0,11,11
11,Run Number 0,12,13
12,Run Number 0,13,12
13,Run Number 0,14,16
14,Run Number 0,15,10
15,Run Number 0,16,16
16,Run Number 0,17,11
17,Run Number 0,18,6
18,Run Number 0,19,15
19,Run Number 0,20,11
20,Run Number 0,21,21
21,Run Number 0,22,32
22,Run Number 0,23,43
23,Run Number 0,24,57
24,Run Number 0,25,71
25,Run Number 0,26,77
26,Run Number 0,27,82
27,Run Number 0,28,93
28,Run Number 0,29,100
29,Run Number 0,30,105
30,Run Number 0,31,107
31,Run Number 0,32,119
32,Run Number 0,33,123
33,Run Number 0,34,133
34,Run Number 0,35,140
35,Run Number 0,36,148
36,Run Number 0,37,156
37,Run Number 0,38,169
38,Run Number 0,39,177
39,Run Number 0,40,179
40,Run Number 0,41,187
41,Run Number 0,42,200
42,Run Number 0,43,204
43,Run Number 0,44,205
44,Run Number 0,45,211
45,Run Number 0,46,218
46,Run Number 0,47,227
47,Run Number 0,48,229
48,Run Number 0,49,235
49,Run Number 0,50,244
50,Run Number 0,51,250
51,Run Number 0,52,262
52,Run Number 1,1,13
53,Run Number 1,2,14
54,Run Number 1,3,5
55,Run Number 1,4,11
56,Run Number 1,5,11
57,Run Number 1,6,15
58,Run Number 1,7,8
59,Run Number 1,8,9
60,Run Number 1,9,8
61,Run Number 1,10,13
62,Run Number 1,11,13
63,Run Number 1,12,11
64,Run Number 1,13,8
65,Run Number 1,14,12
66,Run Number 1,15,8
67,Run Number 1,16,8
68,Run Number 1,17,10
69,Run Number 1,18,16
70,Run Number 1,19,9
71,Run Number 1,20,11
72,Run Number 1,21,7
73,Run Number 1,22,13
74,Run Number 1,23,19
75,Run Number 1,24,35
76,Run Number 1,25,44
77,Run Number 1,26,52
78,Run Number 1,27,63
79,Run Number 1,28,66
80,Run Number 1,29,74
81,Run Number 1,30,85
82,Run Number 1,31,92
83,Run Number 1,32,102
84,Run Number 1,33,108
85,Run Number 1,34,115
86,Run Number 1,35,131
87,Run Number 1,36,140
88,Run Number 1,37,154
89,Run Number 1,38,161
90,Run Number 1,39,170
91,Run Number 1,40,177
92,Run Number 1,41,186
93,Run Number 1,42,192
94,Run Number 1,43,203
95,Run Number 1,44,207
96,Run Number 1,45,211
97,Run Number 1,46,219
98,Run Number 1,47,226
99,Run Number 1,48,234
100,Run Number 1,49,242
101,Run Number 1,50,248
102,Run Number 1,51,255
103,Run Number 1,52,260
104,Run Number 2,1,10
105,Run Number 2,2,10
106,Run Number 2,3,12
107,Run Number 2,4,16
108,Run Number 2,5,8
109,Run Number 2,6,8
110,Run Number 2,7,15
111,Run Number 2,8,8
112,Run Number 2,9,11
113,Run Number 2,10,8
114,Run Number 2,11,7
115,Run Number 2,12,8
116,Run Number 2,13,8
117,Run Number 2,14,9
118,Run Number 2,15,9
119,Run Number 2,16,7
120,Run Number 2,17,10
121,Run Number 2,18,8
122,Run Number 2,19,10
123,Run Number 2,20,7
124,Run Number 2,21,7
125,Run Number 2,22,11
126,Run Number 2,23,3
127,Run Number 2,24,15
128,Run Number 2,25,21
129,Run Number 2,26,31
130,Run Number 2,27,45
131,Run Number 2,28,59
132,Run Number 2,29,66
133,Run Number 2,30,72
134,Run Number 2,31,84
135,Run Number 2,32,89
136,Run Number 2,33,96
137,Run Number 2,34,101
138,Run Number 2,35,105
139,Run Number 2,36,116
140,Run Number 2,37,114
141,Run Number 2,38,123
142,Run Number 2,39,123
143,Run Number 2,40,133
144,Run Number 2,41,137
145,Run Number 2,42,147
146,Run Number 2,43,158
147,Run Number 2,44,166
148,Run Number 2,45,165
