,Week Number,Waiting List
0,1,6.1
1,2,9.5
2,3,7.6
3,4,8.4
4,5,7.6
5,6,7.4
6,7,8.3
7,8,8.4
8,9,7.7
9,10,6.2
10,11,8.6
11,12,7.5
12,13,7.7
13,14,10.7
14,15,17.2
15,16,26.5
16,17,33.4
17,18,41.2
18,19,48.1
19,20,55.6
20,21,63.5
21,22,70.0
22,23,77.0
23,24,85.2
24,25,90.2
25,26,97.6
26,27,104.1
27,28,111.1
28,29,118.2
29,30,124.5
30,31,131.9
31,32,138.3
32,33,145.5
33,34,151.8
34,35,159.2
35,36,165.8
36,37,172.6
37,38,179.0
38,39,186.2
39,40,194.9
40,41,200.4
41,42,204.9
42,43,211.2
43,44,217.9
44,45,226.3
45,46,232.0
46,47,237.3
47,48,243.1
48,49,251.3
49,50,256.2
50,51,262.9
51,52,269.9
