,Run Number,Week Number,Waiting List
0,Run Number 0,1,3
1,Run Number 0,2,10
2,Run Number 0,3,7
3,Run Number 0,4,8
4,Run Number 0,5,13
5,Run Number 0,6,7
6,Run Number 0,7,9
7,Run Number 0,8,8
8,Run Number 0,9,9
9,Run Number 0,10,5
10,Run Number 0,11,7
11,Run Number 0,12,7
12,Run Number 0,13,8
13,Run Number 0,14,15
14,Run Number 0,15,21
15,Run Number 0,16,35
16,Run Number 0,17,44
17,Run Number 0,18,51
18,Run Number 0,19,55
19,Run Number 0,20,63
20,Run Number 0,21,70
21,Run Number 0,22,76
22,Run Number 0,23,77
23,Run Number 0,24,86
24,Run Number 0,25,89
25,Run Number 0,26,96
26,Run Number 0,27,101
27,Run Number 0,28,102
28,Run Number 0,29,109
29,Run Number 0,30,119
30,Run Number 0,31,128
31,Run Number 0,32,134
32,Run Number 0,33,139
33,Run Number 0,34,146
34,Run Number 0,35,152
35,Run Number 0,36,158
36,Run Number 0,37,165
37,Run Number 0,38,175
38,Run Number 0,39,179
39,Run Number 0,40,195
40,Run Number 0,41,199
41,Run Number 0,42,206
42,Run Number 0,43,211
43,Run Number 0,44,214
44,Run Number 0,45,227
45,Run Number 0,46,236
46,Run Number 0,47,240
47,Run Number 0,48,245
48,Run Number 0,49,252
49,Run Number 0,50,257
50,Run Number 0,51,263
51,Run Number 0,52,269
52,Run Number 1,1,5
53,Run Number 1,2,10
54,Run Number 1,3,10
55,Run Number 1,4,8
56,Run Number 1,5,8
57,Run Number 1,6,9
58,Run Number 1,7,5
59,Run Number 1,8,6
60,Run Number 1,9,3
61,Run Number 1,10,7
62,Run Number 1,11,10
63,Run Number 1,12,8
64,Run Number 1,13,8
65,Run Number 1,14,9
66,Run Number 1,15,12
67,Run Number 1,16,21
68,Run Number 1,17,27
69,Run Number 1,18,32
70,Run Number 1,19,38
71,Run Number 1,20,48
72,Run Number 1,21,61
73,Run Number 1,22,65
74,Run Number 1,23,75
75,Run Number 1,24,79
76,Run Number 1,25,86
77,Run Number 1,26,89
78,Run Number 1,27,96
79,Run Number 1,28,105
80,Run Number 1,29,109
81,Run Number 1,30,111
82,Run Number 1,31,117
83,Run Number 1,32,124
84,Run Number 1,33,132
85,Run Number 1,34,137
86,Run Number 1,35,141
87,Run Number 1,36,146
88,Run Number 1,37,152
89,Run Number 1,38,154
90,Run Number 1,39,164
91,Run Number 1,40,167
92,Run Number 1,41,171
93,Run Number 1,42,174
94,Run Number 1,43,185
95,Run Number 1,44,195
96,Run Number 1,45,200
97,Run Number 1,46,200
98,Run Number 1,47,210
99,Run Number 1,48,209
100,Run Number 1,49,213
101,Run Number 1,50,221
102,Run Number 1,51,229
103,Run Number 1,52,237
104,Run Number 2,1,6
105,Run Number 2,2,12
106,Run Number 2,3,9
107,Run Number 2,4,7
108,Run Number 2,5,7
109,Run Number 2,6,4
110,Run Number 2,7,9
111,Run Number 2,8,6
112,Run Number 2,9,6
113,Run Number 2,10,8
114,Run Number 2,11,8
115,Run Number 2,12,7
116,Run Number 2,13,13
117,Run Number 2,14,5
118,Run Number 2,15,16
119,Run Number 2,16,20
120,Run Number 2,17,26
121,Run Number 2,18,38
122,Run Number 2,19,40
123,Run Number 2,20,48
124,Run Number 2,21,53
125,Run Number 2,22,58
126,Run Number 2,23,64
127,Run Number 2,24,70
128,Run Number 2,25,76
129,Run Number 2,26,80
130,Run Number 2,27,88
131,Run Number 2,28,95
132,Run Number 2,29,102
133,Run Number 2,30,105
134,Run Number 2,31,109
135,Run Number 2,32,115
136,Run Number 2,33,128
137,Run Number 2,34,139
138,Run Number 2,35,146
139,Run Number 2,36,153
140,Run Number 2,37,158
141,Run Number 2,38,162
142,Run Number 2,39,168
143,Run Number 2,40,178
144,Run Number 2,41,181
145,Run Number 2,42,185
146,Run Number 2,43,188
147,Run Number 2,44,191
148,Run Number 2,45,198
149,Run Number 2,46,206
150,Run Number 2,47,218
151,Run Number 2,48,223
152,Run Number 2,49,230
153,Run Number 2,50,230
154,Run Number 2,51,242
155,Run Number 2,52,247
156,Run Number 3,1,7
157,Run Number 3,2,4
158,Run Number 3,3,7
159,Run Number 3,4,10
160,Run Number 3,5,6
161,Run Number 3,6,9
162,Run Number 3,7,6
163,Run Number 3,8,5
164,Run Number 3,9,10
165,Run Number 3,10,6
166,Run Number 3,11,8
167,Run Number 3,12,6
168,Run Number 3,13,6
169,Run Number 3,14,9
170,Run Number 3,15,7
171,Run Number 3,16,13
172,Run Number 3,17,20
173,Run Number 3,18,25
174,Run Number 3,19,35
175,Run Number 3,20,40
176,Run Number 3,21,52
177,Run Number 3,22,57
178,Run Number 3,23,62
179,Run Number 3,24,70
180,Run Number 3,25,73
181,Run Number 3,26,81
182,Run Number 3,27,87
183,Run Number 3,28,90
184,Run Number 3,29,99
185,Run Number 3,30,111
186,Run Number 3,31,122
187,Run Number 3,32,130
188,Run Number 3,33,132
189,Run Number 3,34,134
190,Run Number 3,35,142
191,Run Number 3,36,150
192,Run Number 3,37,160
193,Run Number 3,38,166
194,Run Number 3,39,175
195,Run Number 3,40,183
196,Run Number 3,41,189
197,Run Number 3,42,193
198,Run Number 3,43,199
199,Run Number 3,44,206
200,Run Number 3,45,211
201,Run Number 3,46,219
202,Run Number 3,47,226
203,Run Number 3,48,233
204,Run Number 3,49,247
205,Run Number 3,50,252
206,Run Number 3,51,257
207,Run Number 3,52,268
208,Run Number 4,1,8
209,Run Number 4,2,11
210,Run Number 4,3,10
211,Run Number 4,4,8
212,Run Number 4,5,9
213,Run Number 4,6,7
214,Run Number 4,7,5
215,Run Number 4,8,8
216,Run Number 4,9,6
217,Run Number 4,10,8
218,Run Number 4,11,8
219,Run Number 4,12,9
220,Run Number 4,13,7
221,Run Number 4,14,12
222,Run Number 4,15,25
223,Run Number 4,16,38
224,Run Number 4,17,40
225,Run Number 4,18,45
